제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지 수,카테고리,책설명
트레이딩의 전설,키움증권 채널K,,,,,,,넥스트씨,2025년 10월,15300,8.4,11,https://www.yes24.com/product/goods/154845615,256,국내도서 경제 경영 투자 재테크 주식 증권,"결과로 증명된 실전 매매 노하우, 이제 당신의 무기가 된다!- 820만 뷰를 기록한 화제의 인터뷰를 책으로! - 기법을 넘어 원칙과 생존 철학까지 담았다- 불개미, 신정재, 청사진, 방배동선수, 만쥬, 바른다른, 캐리, 월억언제해보나, 뭐라도되겠지 등 9인의 실전 트레이딩 비법 공개- 트레이딩 기법부터 HTS 설정법, 복기 방법론, 멘탈 관리까지매일 수십 번의 매매와 손실, 복기와 성찰 속에서 살아남아 실전투자대회에서 실력을 검증받은 9인의 실전 고수들! 그들은 어떻게 계좌를 키우고, 지켜왔을까?“깨끗한 자리에서만 매수하라”는 원칙으로 4주 만에 816% 수익률을 달성한 올라운드 트레이더 불개미, 호가창보다 추세와 거래량을 믿으며 장 마감 30분을 가장 큰 승부처로 삼은 종가매매의 신정재, 매일 뉴스와 데이터를 매칭하며 루틴을 만든 청사진, 눌림목에서만 매수하고 급등 시 과감히 매도하는 스윙 트레이더 방배동 선수 등이 그 주인공이다. 이어지는 초단타 스캘핑의 세계 또한 치열하다. 만쥬는 매수 후 1분 안에 흐름이 나오지 않으면 즉시 손절하고, 바른다른은 “아무 데서나 매수하지 않는다”는 철칙으로 기다림의 매매를 실천했다. 캐리는 호가창만으로 시장을 돌파하는 젊은 천재로, 순간 반응 속도 하나로 수천 퍼센트 수익률을 기록했다. 월억언제해보나는 HTS를 원클릭 매매 환경으로 최적화하며 변동성을 사냥했고, 뭐라도되겠지는 “손절 원칙만 지키면 상따는 최고의 매매법”이라는 믿음으로 상한가 직전의 과감한 진입을 성공으로 연결했다.이들의 이야기를 읽다 보면 매매 기법보다 더 강하게 와닿는 것이 있다. 바로 ‘원칙’이다. 원칙 없는 투자는 결국 큰 손실로 이어지고, 원칙을 지키는 힘이야말로 시장에서 오래 살아남게 만든다. 책 속에는 매일의 루틴, 멘탈 관리, 출금 습관, 리스크 컨트롤 같은 실제 행동 지침이 구체적으로 담겨 있어, 누구나 자신의 투자 생활에 곧바로 적용할 수 있다.『트레이딩의 전설』은 시장을 이기는 법을 말하지 않는다. 대신 살아남는 법, 그리고 꾸준히 계좌를 지키며 성장하는 법을 보여준다. 단타든 스윙이든, 투자 스타일은 다르더라도 “내 원칙을 세우고 끝까지 지켜낼 수 있는가”라는 질문은 모든 투자자에게 동일하다. 직장과 가정, 그리고 투자까지 책임져야 하는 독자들에게 이 책은 다시 계좌를 들여다보게 하고, 투자 습관을 점검하게 만들며, 시장에서 오래 살아남는 길이 무엇인지 생각하게 하는 실전형 교과서다."
"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,,,,,,,이투스북 ,2024년 12월,14400,9.7,141,https://www.yes24.com/product/goods/140199263,304,"국내도서 수험서 자격증 한국사능력검정시험 심화(1,2,3급)","오랜 연구와 검증으로 한국사에 기초가 전혀 없는 사람도 단기간에 한능검에 합격할 수 있는 최적의 구성을 완성하였다. 판서의 장인 큰별쌤 최태성이 핵심만을 모아 만든 아트 판서를 수록하고, 시험에 자주 등장하는 사료, 사진, 지도 등을 모아 해설하여 합격을 위한 필수 개념을 익히기 쉽게 하였다. 또한, 한능검 기출문제를 모두 분석한 후, 기출 선택지를 이용한 별 채우기 문제를 수록하여 자연스럽게 기출 선택지가 기억될 수 있도록 하였고, 반복적으로 출제되는 주제의 최신 기출문제를 꼼꼼하고 친절한 해설과 함께 담아 실전에 대비할 수 있도록 하였다. 여기에 한국사 연표와 지의 사를 담은 지도를 통해 한국사 흐름잡기가 더욱 쉬울 것이다.※ 제시된 이미지는 책의 뒷표지입니다. 『2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하』의 앞표지는 1억원 기부를 통해 사랑의 열매 '아너 소사이어티'에 가입할 수 있도록 함께 지원해 주신 최태성 1, 2TV 별님들로 구성되었습니다."
한국의 미래,박석중,,,,,,,페이지2북스,2025년 09월,19800,9.6,46,https://www.yes24.com/product/goods/153255887,276,국내도서 경제 경영 경제 각국 경제 경제사 전망 경제전망,"SK, LG, 삼성 등 국내 유수의 대기업 강연 섭외 1순위!신한투자증권 박석중 애널리스트의 첫 단독 서 “기다려온 책이다. 그의 통찰은 늘 깊고 현실적이다. 널리 읽히길 바란다.” _ SK 수펙스추구협의회 의장 최창원위대한 미국을 향한 트럼프의 세계 질서 재편부터코스피 5000을 향한 이재명 신정부의 미래 시나리오,세계를 뒤흔들 기술혁명의 이면까지!한국의 미래를 판가름할 마지막 골든타임을 맞이하라!"
질문의 숲,김종원,,,,,,,포레스트북스,2025년 09월,16200,9.9,64,https://www.yes24.com/product/goods/153497124,264,국내도서 청소년 청소년 생활 자기관리,"★누적 판매 15만 부★5년 연속 청소년 분야 최장기 베스트셀러 시리즈★120만 학부모가 기다려 온 AI시대 청소년 인문 필독서“이 숲에선 마음껏 질문을 펼쳐 보렴!헤맨 만큼 너의 길이 될 테니까”120만 독자가 응원하는 김종원 작가의10대를 위한 아주 특별한 인문학 수업우리는 늘 ‘정답’에서 벗어나지 않으려 애쓴다. 이제는 앉은 자리에서 손가락만 몇 번 움직이면 손쉽게 AI가 대부분의 질문에 답을 준다. 아이들이 살아갈 미래는 지금보다 훨씬 더 많은 것을 AI가 대신해 줄 것이다. 그럴수록 스스로 생각하는 힘은 약해질 수밖에 없다. 그러나, 삶은 누가 대신 살아줄 수 있는 게 아니다. 정해진 답이 아닌 자기만의 길을 찾아야 하는 이유다.『질문의 숲』은 청소년 시리즈 장기 베스트셀러 ‘숲 시리즈(철학의 숲, 고전의 숲, 신화의 숲, 논리의 숲)’의 다섯 번째 책으로, 120만 독자가 신뢰하는 인문학 멘토 김종원 작가가 고민 많고 흔들리는 10대를 위해 섬세하게 고심해서 쓴 책이다. “고민과 걱정은 뭐가 다른 걸까?”, “가까운 사람과 자주 다투는 이유는 뭘까?” 같은 일상의 작은 고민부터 “행복은 꼭 고생해야 얻을 수 있을까?”, “불행은 왜 일어날까?” 같은 인생의 큰 물음까지, 우리 안에 잠든 질문의 씨앗을 깨워준다.지금 필요한 것은 정해진 답이 아니라, 더 나은 삶으로 이끌어주는 ‘좋은 질문’이다. 질문을 시작으로 아이들은 주변을, 세상을, 그리고 자기 자신을 더 깊이 이해하게 된다. 글쓰기, 관계, 감정, 태도, 선택 등 삶과 맞닿은 70개의 질문들은 아이들이 단단하고 유연한 질문가로 자라나도록 도울 것이다."
우리는 언제나 다시 만나,윤여림,,,안녕달,,,,위즈덤하우스,2017년 07월,10800,9.8,616,https://www.yes24.com/product/goods/43862350,양,국내도서 유아 4-6세 4-6세 우리나라 그림책,"엄마가 세상에 하나뿐인 아이에게 전하는 사랑과 응원의 메시지 신이 세상 모든 곳에 존재할 수 없어 ‘엄마’가 존재한다는 말이 있습니다. 그만큼 ‘엄마’라는 존재는 아이에게 세상에서 가장 따뜻한 품이자 든든한 버팀목이 아닐까요? 엄마 또한 세상에 하나뿐인 아이를 위해 무엇이든 다 할 수 있고, 무엇이든 해 주고 싶은 마음입니다. 하지만 아이가 점점 자라면서 엄마가 아이와 모든 것을 함께 할 수 없다는 걸 알게 됩니다. 그리고 언젠가는 엄마 곁을 떠나 아이 혼자서 세상을 마주하고, 혼자서 걸어가야 할 순간이 찾아오지요. 바로 그때 엄마가 아이에게 들려줘야 할 그림책이 있습니다. 『우리는 언제나 다시 만나』는 앞으로 멋지게 세상을 살아갈 아이에게 전하는 엄마의 사랑과 응원의 메시지입니다. 태어나서 어른이 될 때까지....... 변화무쌍한 성장 과정 속에서 아이에 대한 엄마의 변함없는 사랑을 이야기합니다. 아주 오랫동안 떨어져 있다 해도, 엄마는 너를 사랑하고, 언제나 우리는 다시 만난다는 걸 알려줍니다. 그러니 세상을 누비며 마음껏 날아다니다 힘들면 언제든 엄마를 찾아오라고 말하지요. 다시 날아오를 힘이 생길 때까지 꼭 엄마가 꼭 안아 줄 거니까요. 이 책은 엄마라면 누구나 공감하고 아이에게 매일매일 들려주고 싶을 것입니다. 지금 끊임없이 엄마를 찾는 유아기 아이의 엄마뿐 아니라, 앞으로 태어날 아이를 기다리는 예비 엄마, 어느덧 아이가 자라서 곧 떠나 보내야 할 청소년기 아이의 엄마… 모든 엄마가 사랑하는 아이에게 들려주고 싶은 따뜻한 사랑과 힘찬 응원을 담고 있습니다."
스토너,존 윌리엄스,김승욱,,,,,,알에이치코리아(RHK),2015년 01월,15120,9.4,724,https://www.yes24.com/product/goods/15718330,396,국내도서 소설 시 희곡 영미소설 영미 장편소설,"“사는 모습은 달라도, 우리는 누구나 스토너다.” 조용하고 절망적인 생에 관한 소박한 이야기,그러나 50년의 시차를 지나 전 세계인의 마음을 사로잡은 위대한 이야기!2013 워터스톤 올해의 책 영국, 프랑스, 독일, 네덜란드 등 전 유럽 베스트셀러출간 후 50년, 미국을 넘어 전 세계를 사로잡은 위대한 소설,《스토너》묵묵히 자신의 길을 걷고자 했던 한 남자의 삶이 시간과 공간을 넘어 지금 우리의 마음을 파고든다.지난 2013년, 영국 최대의 체인 서점인 ‘워터스톤’ 올해의 책으로 선정된 도서는 요즘 가장 주목받는 작가라는 줄리언 반스의 책도, 케이트 앳킨스의 책도 아니었다. 농부의 아들로 태어나 문학을 사랑했으며 묵묵히 자신의 길을 가고자 했던 내성적인 한 남자의 일생을 그린 소박하기만 한 이야기,《스토너》가 바로 그 주인공이었다. 특별한 계기가 있거나 새삼스러운 이슈로 주목받은 것도 아니었다. 언뜻 초라한 실패담에 불과해 보이는 이 책은, 누구의 탓도 하지 않고 묵묵히 자신의 방식으로 슬픔을 받아들이는 주인공 윌리엄 스토너의 일생이 큰 공감을 불러일으키며 유럽 독자들의 마음을 온통 사로잡았다. 1965년 미국에서 발표된 후, 오랜 시간 동안 독자들에게 잊힌《스토너》는 영국, 프랑스, 독일, 네덜란드 등 유럽 출판계와 평론가, 독자들의 열렬한 반응을 이끌어내며 베스트셀러가 되었다. 50년의 시차를 가볍게 뛰어넘어, 작가 존 윌리엄스가 세상을 떠난 지 20년 만에 비로소 제대로 된 세상의 평가를 받게 된 것이다. 미국과 유럽을 넘어 전 세계에 ‘늦고도 새로운 감동’을 전한 베스트셀러.《스토너》가 드디어 한국 독자들을 찾아왔다."
해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소,,,,,,,해커스어학연구소,2024년 05월,12510,9.6,313,https://www.yes24.com/product/goods/102502665,332,국내도서 국어 외국어 사전 일본어 일본어 입문서,"따라만 해도 일본어가 술~술~20일만에 일본어 기초 완성! 일본어를 하나도 몰라도, 따라 읽기만 하면 말문이 트이는 체계적인 학습으로 구성되어 있고 [문형으로 말문 트기+문형 탐구+실생활 회화 자동발사]로 쉽고 재미있게 학습할 수 있다. [문형 활용한 긴 문장 말하기+연습문제로 실력 확인하기]로 배운 것을 내 것으로 만들 수 있으며 문자 암기와 문형 학습을 도와줄 [히라가나/가타카나표+동사 활용표+쓰기 노트+워크북]와 언제 어디서든 MP3를 손쉽게 들을 수 있는 QR코드가 수록되어 있다."
해커스 토익 기출 VOCA (보카),David Cho,,,,,,,해커스어학연구소,2024년 08월,11610,9.6,1156,https://www.yes24.com/product/goods/67362730,556,국내도서 국어 외국어 사전 영어 토익 TOEIC 어휘 VOCA,토익 기출 보카 30일 완성!주제별 연상암기로 쉽고 재미있게 단어 학습이 가능하며 최신 기출 단어 및 출제포인트 수록했다. 목표 점수대별 필수 단어로 맞춤 학습을 할 수 있으며 출제율 높은 핵심 단어만 골라 효율적으로 학습할 수 있다. 토익 신유형 대비 [토익 필수 이디엄 표현]을 수록했고 실전 감각을 키우는 토익 실전문제 13회분을 제공(교재 3회+온라인 10회)한다.
"AI 시대의 질문력, 프롬프트 엔지니어링",류한석,,,,,,,코리아닷컴(Korea.com),2025년 08월,24300,9.8,26,https://www.yes24.com/product/goods/150566390,528,국내도서 IT 모바일 인공지능 인공지능 일반,"대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다. 누구나 써야 하고, 제대로 써야 한다. 챗GPT를 쓰기는 하는데 제대로 쓸 줄 모르는 당신을 위한 책. AI에게 질문하기는 쉽지만, 질문 방식에 따라 결과가 천차만별이기 때문에 올바른 질문법이 중요하다. AI는 다양한 지식을 조합해 제공할 수 있지만, 당신의 의도까지 알아서 파악하기는 어렵다. 즉, 질문의 의도와 맥락을 ‘기계가 이해할 수 있도록’ 효과적으로 전달하는 능력이 필요하다. 프롬프트 엔지니어링은 AI와의 대화 및 문제 해결 방식을 만드는 사고의 틀이자 다양한 량이 결합된 통합적 기술이다. AI 시대에는 질문력이 곧 경쟁력이 된다. 같은 AI라도 사용자의 프롬프트 엔지니어링 능력에 따라 결과물의 품질과 효율은 하늘과 땅 차이가 나게 된다.이 책은 자가 삼성전자, 현대자동차, SK텔레콤, 국토교통부, 국방전산정보원 등 최고의 대기업과 공공기관에 제공한 프롬프트 엔지니어링 교육 콘텐츠를 완벽하게 정리하고 개선한 결정판으로, 프롬프트 작성의 탄탄한 기초를 제공하는 동시에 AI 잠재력을 120% 끌어낼 실용적인 레시피가 담겨 있다. 프롬프트 전문가가 되기 위한 기초적인 이해에서부터 AI를 똑똑한 부하직원으로 써먹을 수 있는 질문의 기본 구조, 나아가 다양한 상황에서 바로 적용할 수 있는 프롬프트 패턴과 프레임워크까지, 생성형 AI를 제대로 사용하고 싶은 당신의 니즈를 모두 담은 책! 이 한 권이면 프롬프트를 마스터할 수 있다."
급류,정대건,,,,,,,민음사,2022년 12월,12600,8.8,480,https://www.yes24.com/product/goods/116586303,양,국내도서 소설 시 희곡 한국소설 한국 장편소설,"2020년 《한경신춘문예》에 장편소설 『GV 빌런 고태경』이 당선되어 작품 활동을 시작한 소설가 정대건의 두 번째 장편소설 『급류』가 오늘의 젊은 작가 시리즈 40번으로 출간되었다. 『급류』는 수지와 계곡이 유명한 지방도시 ‘진평’을 배경으로, 열일곱 살 동갑내기인 ‘도담’과 ‘해솔’의 만남과 사랑을 그린 소설이다. 아빠와 함께 수영을 하러 갔던 도담이 한눈에 인상적인 남자아이 ‘해솔’이 물에 빠질 뻔한 것을 구하러 뛰어들며 둘의 인연은 시작된다. 운명적이고 낭만적으로 보이는 첫 만남 이후 둘은 모든 걸 이야기하고 비밀 없는 사이가 되지만, 그 첫사랑이 잔잔한 물처럼 평탄하지만은 않다. 모르는 사이에 디뎌 빠져나올 수 없이 빨려드는 와류처럼 둘의 관계는 우연한 사건으로 다른 국면을 맞이한다. 도담과 해솔의 관계가 연인으로 발전하던 어느 날, 해솔의 엄마와 도담의 아빠가 불륜 관계인 듯한 정황이 드러나고 이에 화가 난 도담은 그 둘이 은밀히 만나기로 한 날 밤 랜턴을 들고 그들의 뒤를 밟는다. 그리고 그곳에서 생각지도 못한 사고가 벌어진다. 그날 이후, 진평에서 오직 서로가 전부이던, 나누지 못할 비밀이 없던 도담과 해솔의 관계와 삶은 순식간에 바뀌어 버린다. 해솔의 엄마와 도담의 아빠는 어떤 관계였던 걸까? 그 날, 그 밤 도담과 해솔은 어떤 일을 겪게 된 걸까?"
어른의 관계를 가꾸는 100일 필사 노트,김종원,,,,,,,청림Life,2025년 09월,18000,9.9,40,https://www.yes24.com/product/goods/151657789,양,국내도서 자기계발 처세술 삶의 자세,"“관계는 정원을 가꾸는 것과 같다!”진심은 담고 불필요한 것들은 솎아내는120만 멘토 김종원 작가의 관계 철학! 그 인간관계의 정수를 100일 필사로 만나다!120만 멘토 김종원 작가가 화제의 베스트셀러 《어른의 품격을 채우는 100일 필사 노트》에 이어서 두 번째로 펴낸 100일 필사집이다. 이번 책에서는 인간관계의 본질을 파헤치고, 필사하는 것만으로도 그 정수를 내면에 채울 수 있는 문장들을 가득 담았다.   자가 말하는 관계의 품격이란 “관계를 넓히는 게 아니라 지혜롭게 좁히는” 데서 비롯된다. 진심을 담아 사람을 대하되, 더 소중한 것에 마음 쓰기 위해서는 불필요한 것들을 덜어낼 줄도 알아야 한다는 것이다.  이를 위해 책 속에는 지혜롭게 관계를 맺는 법, 나의 생각과 감정을 다정하게 표현하는 법, 무례한 사람에게 상처받지 않는 법, 누구를 만나든 나다움을 잃지 않고 당당해지는 법 등 ‘관계’라는 정원을 잘 가꾸기 위한 다채로운 지혜를 전한다. 삶의 철학이 있는 어른은 결코 인간관계에 흔들리지 않으며, 이 책은 그 답을 찾아가는 여정의 시작이 될 것이다. 이제 타인이라는 세계 속에서 나를 되찾아줄 문장들을 만나보자."
"AI 시대, 나는 무엇으로 빛날까",최영숙,,,,,,,미디어숲,2025년 10월,16920,10.0,1,https://www.yes24.com/product/goods/154646344,304,국내도서 청소년 청소년 생활 자기관리,"“흔들려도 괜찮아, 너는 반드시 찬란하게 빛날 거야”청소년 진로 멘토, 또 하나의 인생 책을 쓰다!『잘하는 것도, 하고 싶은 일도 없다는 너에게』의 자가 전하는 또 다른 진심요즘 아이들은 어른들이 생각하는 것보다 훨씬 일찍 불안을 경험한다. “AI가 다 해 버리면 나는 뭐가 될 수 있나요?”, “AI 시대에 앞으로 뭘 해야 할지 막막해요.”라고 하소연하는 아이들. 하고 싶은 것도, 잘하는 것도 뚜렷하지 않은데 세상은 무섭도록 빠르게 변해 가고, 어른들은 준비하라고만 닦달한다. 그 순간 아이들 마음속에는 두려움보다도 무력감이 깃든다. 길이 보이지 않으니 아예 한 걸음도 내딛지 못하는 것이다.이 책의 자 최영숙 선생님은 교실에서 그런 아이들과 마주하며 오랜 기간 함께 진로를 상담해 온 교사다. 수십 년 동안 학생들의 눈을 들여다보며 고민을 듣고, 포기한 듯 보이던 아이가 작은 계기를 만나 반짝이는 순간을 지켜봐 왔다. 그 경험이 쌓여 그녀는 확신하게 됐다. 인공지능이 답을 척척 내놓아도, 결국 미래의 길을 찾아내고 선택하는 것은 아이 자신이라는 사실을. AI는 복잡한 계산을 잘할 수 있지만, 실패를 견디고 다시 일어서는 힘은 인간만이 가질 수 있다는 것을. 그래서 중요한 것은 불안을 없애는 것이 아니라, 그 속에서도 자기만의 색깔을 찾아 선명하게 빛나는 법을 배우는 것이다.최영숙 선생님은 청소년들에게 네 가지 핵심 량을 강조한다. 마음을 다스리는 힘, 시간을 주도하는 습관, 스스로 배움을 찾아가는 자세, 그리고 미래로 나아가는 힘이다. 이는 AI가 결코 대체할 수 없는, 인간만의 고유한 내면의 빛이다. 각 량 아래에는 비교, 멘털, 공감, 학습, 동기, 실패, 변화, 용기 등, 삶 속에서 되새겨야 할 26가지 키워드가 담겨 있다. 작은 기록 하나가 쌓여 성장을 증명하고, 습관이 몸에 배어 불안을 이겨내며, 질문이 쌓여 세상을 바라보는 시선이 달라진다. 결국 아이들은 이 과정을 통해 자신만의 색깔을 찾아내고, 그 빛으로 자기만의 길을 걸어갈 것이다. 이 책은 단순한 진로 지침서가 아니다. 아이들에게는 흔들려도 괜찮다는 따뜻한 위로이자 응원이 되고, 부모에게는 우리 아이가 AI 시대 속에서도 무너지지 않고 스스로 길을 찾아갈 수 있다는 희망을 전한다. 불확실성의 시대에 가장 필요한 건 완벽한 답이 아니라 자기만의 중심이다. “네 안의 빛을 세상 밖으로 꺼내라”는 이 책의 호소는 결국 모든 청소년과 부모에게 던지는 질문이자 확신이다. 흔들리며 자라는 아이가 언젠가 반짝일 수 있다는 믿음을 놓지 않는 것, 그 믿음이야말로 불안한 시대를 건너는 가장 든든한 힘이 된다."
저항의 멜랑콜리,크러스너호르커이 라슬로,구소영,,,,,,알마,2019년 05월,19800,9.5,8,https://www.yes24.com/product/goods/73095851,536,국내도서 소설 시 희곡 세계각국소설 동유럽소설,"“서구 문명이라는 이름의 암울한 사에 대한 통찰!” _ 맨부커 심사위원단 “현대 작의 자잘한 관심사들을 훌쩍 뛰어넘는다!” _ W. G. 제발트“파멸의 공포 속에서도 예술의 힘을 다시 일깨운 작가”신작 《헤르쉬트 07769》로 한국 독자와의 만남을 이어간다헝가리 현대문학의 거장 크러스너호르커이 라슬로가 2025년 노벨문학상을 수상했다.노벨위원회는 “파멸의 공포 속에서도 예술의 힘을 다시 일깨우는 강렬하고 비전적인 작품”을 수상 이유로 밝히며, 그가 현대 문학이 잃어버린 ‘예언적 언어’의 가능성을 다시 보여주었다고 평가했다.파멸과 구원 사이, 언어의 경계 위를 걷는 문학의 예언자크러스너호르커이 라슬로는 1985년 데뷔작 《사탄탱고》를 통해 문단에 등장한 이후 인간 존재의 불안과 세계의 붕괴를 압도적인 문장으로 형상화해온 작가다.그는 끝없이 이어지는 긴 문장과 강렬한 서사적 긴장으로, ‘읽는 수행’이라 불릴 만큼 독보적인 문체로 독자를 몰입시킨다.알마출판사는 작가의 대표작 여섯 권, 《사탄탱고》 《항의 멜랑콜리》 《라스트 울프》 《세계는 계속된다》 《서왕모의 강림》 《벵크하임 남작의 귀향》을 국내에 소개해왔으며, 2026년 1월에는 신작 《헤르쉬트 07769》(Herscht 07769)를 출간할 예정이다.《헤르쉬트 07769》은 이름 대신 숫자로 불리는 남자 ‘헤르쉬트’가 문명 붕괴 이후의 세계 속에서 자신의 정체성과 언어의 의미를 되찾으려는 여정을 그린 작품이다.숫자와 기호로만 소통하는 사회에서, 그는 더 이상 이름을 부를 수 없는 인간들의 세계를 마주한다.이 작품은 작가가 일관되게 탐구해온 ‘존재의 불안’과 ‘언어의 종말 이후 인간의 가능성’을 가장 밀도 높게 구현한 후기작으로 평가받는다.전 세계로 확장되는 그의 문학 작품은 오랫동안 조용한 반향 속에서도 깊은 독자층을 형성해왔다.이번 노벨문학상 수상은 인간과 예술의 근원을 향한 그의 끝없는 탐구가 다시 한 번 세계의 언어로 되살아난 순간으로, 독자들에게 강렬한 울림을 전하는 계기가 될 것이다.《크러스너호르커이 라슬로 읽기》(가제) 및 벨라 타르 영화 상영회 추진알마출판사는 이번 수상을 기념하여, 결코 쉽지 않지만 반드시 읽어야 할 문학의 세계를 독자들에게 더 가까이 전하기 위한 소책자 《크러스너호르커이 라슬로 읽기》(가제)를 선보일 예정이다.필진으로는 한경민 교수, 조원규 시인, 정성일 영화평론가, 장은수 문학평론가, 금정연 평론가, 김유태 시인 등이 참여해 각자의 시선으로 작가의 세계를 해석할 예정이다.또한 작가의 문학 세계를 영상으로 확장해 조명하기 위해, 또 한 명의 세계적인 거장 타르 벨라 감독의 영화 《사탄탱고》와 《항의 멜랑콜리》를 원작으로 한 《베이크마이스터 하모니즈》(Werckmeister Harmonies) 상영회를 추진하고 있다."
가공범,히가시노 게이고,김선영,,,,,,북다,2025년 07월,19800,9.3,229,https://www.yes24.com/product/goods/149107353,양,국내도서 소설 시 희곡 장르소설 추리 미스터리,"히가시노 게이고 작가 데뷔 40주년!진실을 찾는 눈, 진심을 향한 걸음 고다이 쓰토무가 시작하는 새로운 시리즈 “이 소재를 작품으로 쓸 날은 오지 않을 거라고 생각했습니다.”- 히가시노 게이고 ‘오늘의 일본을 대표하는 작가’이자 일본 내 ‘단행본 판매 누계 1억 부’ 돌파라는 전대미문의 쾌거를 거둔 히가시노 게이고의 장편소설 『가공범』이 종합 출판 브랜드 북다에서 출간되었다. 1985년 데뷔하여 2025년 작가 데뷔 40주년을 맞이한 그는 『백조와 박쥐』에 한차례 등장한 고다이 쓰토무를 주인공으로 내세움으로써 새로운 시리즈의 시작을 알렸다. 고다이는 예리한 관찰안과 부지런한 발을 지닌 인물로 기존에 작가가 그려 온 천재형 탐정 캐릭터들과는 차이가 있다. 유능함보다는 성실함이 큰 장점인데 긴 시간 묵묵히 미스터리 장르에 헌신해 온 히가시노 게이고와 가장 닮았다. 불에 탄 택에서 유명 정치인과 전직 배우 부부의 시체가 발견된다. 화려한 삶을 살아온 이들에게 무슨 일이 벌어진 걸까? 두 사람은 무슨 비밀을 끌어안고 있는 것일까? 고다이 형사는 좀처럼 풀리지 않는 사건의 실마리를 풀기 위해 일본 전을 동분서주 돌아다닌다. 이 과정에서 그가 느낀 사소한 의심이 쌓여 마침내 사건이 품고 있던 엄청난 비밀이 밝혀진다. 천재 캐릭터나 기상천외한 범죄 없이도 여러 번 숨을 멎게 하는 히가시노 게이고의 매력이 더욱 빛을 발하는 작품이다. 『가공범』은 일본 출간 후 이례적으로 빠른 증쇄와 2024년 베스트 미스터리 선정, 2025년 일본미스터리문학 대상 수상, 일본 최대 서점 체인 기노쿠니야·출판 유통사 토한 종합 1위 등의 성과를 거두며 히가시노 매직이 더욱 강력해졌음을 증명해 냈다. 과거의 열정과 현재의 명성에 안주하지 않는, 히가시노 게이고의 작가 인생 40년이 담겼다."
