hotel_id,hotel_name,hotel_grade,hotel_riviewCount,hotel_rating,cleanliness,service,comfort,condition,neighbourhood,hotel_locality,hotel_region
752945248,제주시  워싱턴 (Jeju Washington),3.0,13,7.8,7.6,9.4,8.4,9.0,8.0,서귀포시,제주특별자치도
752945248,제주시  워싱턴 (Jeju Washington),3.0,13,7.8,7.6,9.4,8.4,9.0,8.0,서귀포시,제주특별자치도
710051936,웰스테이 (Well Stay ),2.5,1,8.0,8.0,8.0,8.0,8.0,0.0,서울특별시,서울특별시
710051936,웰스테이 (Well Stay ),2.5,1,8.0,8.0,8.0,8.0,8.0,0.0,서울특별시,서울특별시
1229228128,파스텔 펜션 (Pastel Pension),3.0,2,4.0,5.0,6.0,8.0,4.0,2.0,홍천군,홍천군
1229228128,파스텔 펜션 (Pastel Pension),3.0,2,4.0,5.0,6.0,8.0,4.0,2.0,홍천군,홍천군
395375,아이다 호텔 (AIDA Hotel),3.0,53,5.2,5.2,6.4,5.4,5.2,6.0,서울특별시,서울특별시
395375,아이다 호텔 (AIDA Hotel),3.0,53,5.2,5.2,6.4,5.4,5.2,6.0,서울특별시,서울특별시
395375,아이다 호텔 (AIDA Hotel),3.0,53,5.2,5.2,6.4,5.4,5.2,6.0,서울특별시,서울특별시
1241876608,별빛언덕 (Starlight Hill Pension),3.0,2,6.0,6.0,4.0,6.0,4.0,0.0,가평군,경기도
1241876608,별빛언덕 (Starlight Hill Pension),3.0,2,6.0,6.0,4.0,6.0,4.0,0.0,가평군,경기도
881002624,캡슐호텔 굿스테이인 (Capsule Hotel Goodstayinn),2.5,135,7.8,8.0,8.4,6.8,7.4,9.0,인천광역시,인천광역시
881002624,캡슐호텔 굿스테이인 (Capsule Hotel Goodstayinn),2.5,135,7.8,8.0,8.4,6.8,7.4,9.0,인천광역시,인천광역시
881002624,캡슐호텔 굿스테이인 (Capsule Hotel Goodstayinn),2.5,135,7.8,8.0,8.4,6.8,7.4,9.0,인천광역시,인천광역시
881002624,캡슐호텔 굿스테이인 (Capsule Hotel Goodstayinn),2.5,135,7.8,8.0,8.4,6.8,7.4,9.0,인천광역시,인천광역시
643926144,청태산 힐링펜션 (Hoengseong Cheongtaesan Healing Pension),2.5,7,4.8,4.0,4.0,4.8,4.0,6.0,횡성군,강원도
643926144,청태산 힐링펜션 (Hoengseong Cheongtaesan Healing Pension),2.5,7,4.8,4.0,4.0,4.8,4.0,6.0,횡성군,강원도
493723,바인 호텔 (Vine Hotel),2.5,115,8.4,8.0,8.6,8.4,8.4,7.4,성남시,경기도
493723,바인 호텔 (Vine Hotel),2.5,115,8.4,8.0,8.6,8.4,8.4,7.4,성남시,경기도
493723,바인 호텔 (Vine Hotel),2.5,115,8.4,8.0,8.6,8.4,8.4,7.4,성남시,경기도
493723,바인 호텔 (Vine Hotel),2.5,115,8.4,8.0,8.6,8.4,8.4,7.4,성남시,경기도
1052444832,호텔야자 포항영일대점 (Hotel YaJa Pohang Yeongildae),2.5,10,7.6,8.2,8.2,7.8,8.2,10.0,포항시,경상북도
